Designator,Mid X,Mid Y,Rotation,Layer
C1,147.455924,-97.872614,0.0,top
C10,148.788942,-96.227302,90.0,top
C11,137.100263,-94.633552,90.0,top
C12,149.185169,-94.035895,90.0,top
C13,137.58435,-102.812555,90.0,top
C14,141.744727,-103.410211,90.0,top
C15,138.738942,-86.317927,0.0,top
C16,142.647433,-83.477302,90.0,top
C17,145.078565,-106.040583,180.0,top
C2,142.053093,-101.008552,270.0,top
C3,147.455924,-100.06402,180.0,top
C4,145.817244,-99.61402,270.0,top
C5,139.135169,-102.255427,180.0,top
C6,147.005924,-102.403083,90.0,top
C7,138.288942,-99.215583,270.0,top
C8,147.40215,-90.250739,90.0,top
C9,145.817244,-89.453864,90.0,top
J1,142.915,-72.65,180.0,top
J2,133.985,-95.25,0.0,top
J3,151.765,-95.25,0.0,top
J4,142.875,-119.14,90.0,top
R1,141.532496,-79.136083,0.0,top
R2,143.711741,-78.737646,180.0,top
R3,144.232822,-86.134833,90.0,top
R4,145.40253,-86.134833,270.0,top
R5,141.532496,-86.307958,0.0,top
R6,145.6291,-108.758115,90.0,top
R7,146.287213,-111.60874,0.0,top
SW1,143.129,-114.173,0.0,top
U1,143.117371,-94.615,45.0,top
U2,139.135917,-104.63005,0.0,top
U3,147.649125,-107.586769,90.0,top
Y1,139.900257,-83.8613,180.0,top
